code_module,code_presentation,id_student,sum_click,date,studied_credits,num_of_prev_attempts,module_presentation_length,final_result
FFF,2014J,631750,171,10,120,0,269,Withdrawn
EEE,2014B,615242,1303,78,30,0,241,Fail
EEE,2014J,585852,2520,130,60,0,269,Pass
FFF,2013B,1930949,1156,82,150,0,240,Fail
BBB,2014J,677630,133,16,60,0,262,Fail
CCC,2014B,416860,446,45,60,0,241,Withdrawn
GGG,2014B,632936,1544,98,30,0,241,Pass
DDD,2014J,676087,2569,186,90,0,262,Distinction
CCC,2014B,618096,1215,73,60,0,241,Distinction
CCC,2014J,681642,717,54,120,0,269,Pass
EEE,2014J,693959,1477,95,60,0,269,Pass
DDD,2013J,572338,1449,111,60,0,261,Pass
EEE,2014J,627935,308,20,90,0,269,Withdrawn
CCC,2014J,649607,253,13,90,0,269,Withdrawn
FFF,2013B,387447,3956,118,150,1,240,Pass
EEE,2014B,630825,41,6,60,0,241,Fail
EEE,2013J,572168,2230,95,90,0,268,Withdrawn
DDD,2014J,295118,2462,175,180,0,262,Pass
FFF,2013J,571355,5540,180,60,0,268,Pass
FFF,2014J,688250,144,14,60,0,269,Fail
CCC,2014J,624585,25,8,60,0,269,Withdrawn
DDD,2014J,649819,1372,102,120,0,262,Pass
DDD,2013B,2585285,2766,125,60,0,240,Pass
CCC,2014B,625108,2034,76,60,0,241,Distinction
CCC,2014B,626998,766,49,60,0,241,Pass
DDD,2014B,522129,117,8,120,1,241,Withdrawn
CCC,2014B,622948,789,32,60,0,241,Withdrawn
DDD,2014B,354050,358,43,90,2,241,Fail
FFF,2013B,2479413,5385,141,90,0,240,Pass
GGG,2014J,641535,116,7,30,0,269,Fail
DDD,2013J,532144,538,70,60,2,261,Pass
EEE,2013J,573742,661,34,60,0,268,Pass
DDD,2014B,631569,985,84,90,0,241,Pass
GGG,2014J,1977701,545,32,30,0,269,Pass
GGG,2014J,642590,5,1,30,0,269,Fail
CCC,2014B,490665,49,6,120,0,241,Withdrawn
BBB,2014J,265466,1168,89,60,1,262,Pass
FFF,2013B,353018,2275,69,60,0,240,Pass
GGG,2014B,608221,164,13,30,0,241,Fail
BBB,2013J,606627,215,10,60,0,268,Withdrawn
GGG,2013J,596527,817,50,30,0,261,Pass
DDD,2013J,146666,708,66,120,0,261,Fail
DDD,2013J,383694,1194,99,60,0,261,Pass
BBB,2013B,109938,396,49,120,0,240,Distinction
CCC,2014J,649592,876,57,60,0,269,Distinction
DDD,2013B,546747,3,1,60,0,240,Withdrawn
EEE,2013J,574038,3019,122,60,0,268,Pass
FFF,2013B,532464,399,14,120,0,240,Fail
CCC,2014B,534047,10,2,30,0,241,Withdrawn
FFF,2013B,234727,6513,172,60,0,240,Distinction
CCC,2014J,594214,374,30,60,0,269,Withdrawn
BBB,2014J,646352,481,9,60,0,262,Fail
DDD,2013J,286842,683,65,60,0,261,Pass
FFF,2014B,339855,476,33,60,0,241,Withdrawn
FFF,2013J,586428,2919,90,60,0,268,Pass
BBB,2014J,639724,1292,85,90,0,262,Distinction
FFF,2014J,652087,1973,82,60,0,269,Pass
BBB,2013B,537572,3856,190,60,0,240,Pass
FFF,2013J,1532921,55,8,60,0,268,Withdrawn
DDD,2013J,575999,99,8,60,0,261,Withdrawn
DDD,2013J,105523,753,103,90,0,261,Pass
GGG,2013J,2511859,959,63,60,0,261,Pass
CCC,2014B,2556060,2823,166,30,0,241,Distinction
BBB,2014J,606535,4680,209,60,0,262,Pass
EEE,2014J,177472,549,18,30,0,269,Fail
FFF,2014J,265497,1701,70,60,0,269,Pass
BBB,2014J,674201,179,7,60,0,262,Withdrawn
DDD,2014J,559447,1973,154,60,0,262,Pass
BBB,2014J,692907,371,24,60,0,262,Pass
FFF,2014J,2395016,577,32,60,0,269,Withdrawn
DDD,2013J,120999,507,64,60,1,261,Pass
BBB,2013B,535468,2205,112,60,0,240,Pass
BBB,2013J,476816,255,40,210,2,268,Fail
DDD,2014B,626114,2157,183,60,0,241,Distinction
FFF,2014J,1837138,13858,248,120,0,269,Distinction
BBB,2014B,438775,24,7,60,1,234,Withdrawn
CCC,2014J,610549,128,3,60,1,269,Withdrawn
GGG,2013J,534251,190,8,30,0,261,Fail
FFF,2013B,383946,1299,62,60,1,240,Fail
EEE,2014J,657209,1680,73,60,0,269,Withdrawn
BBB,2014B,615218,9,2,60,0,234,Fail
GGG,2014J,675811,3203,174,30,0,269,Distinction
DDD,2013B,558224,1550,145,60,0,240,Fail
GGG,2013J,560374,179,15,45,0,261,Pass
CCC,2014J,368436,3428,175,30,0,269,Pass
FFF,2013J,595230,6664,154,150,0,268,Pass
BBB,2014B,624011,540,70,120,0,234,Pass
DDD,2013J,524575,1521,119,60,0,261,Distinction
FFF,2013B,465430,2666,120,60,0,240,Pass
DDD,2013B,544091,3054,157,120,0,240,Pass
FFF,2013J,610643,2607,94,60,0,268,Pass
FFF,2013B,532062,977,24,120,1,240,Withdrawn
CCC,2014B,484787,121,3,90,0,241,Withdrawn
BBB,2013J,474071,373,33,60,1,268,Fail
BBB,2014B,576375,475,24,120,1,234,Pass
FFF,2013J,2193185,1660,54,180,0,268,Pass
DDD,2014J,645864,1085,140,120,0,262,Pass
DDD,2014J,686268,683,63,120,0,262,Fail
DDD,2014B,525635,690,54,60,0,241,Fail
FFF,2013J,591343,1216,41,150,0,268,Pass
GGG,2013J,580469,326,20,30,0,261,Fail
FFF,2014B,611542,2469,68,60,0,241,Distinction
FFF,2013J,568333,6250,182,120,0,268,Pass
GGG,2014J,649909,737,71,30,0,269,Pass
BBB,2014B,381544,618,31,60,0,234,Pass
DDD,2013J,582373,864,60,60,0,261,Withdrawn
FFF,2014J,678831,397,27,300,0,269,Withdrawn
EEE,2014J,560759,916,93,60,0,269,Pass
GGG,2014B,624679,1695,91,30,0,241,Fail
BBB,2013B,367609,1816,97,60,0,240,Pass
GGG,2013J,496224,16,2,90,0,261,Fail
CCC,2014B,485374,1224,67,60,0,241,Pass
CCC,2014J,340010,1072,23,30,0,269,Pass
GGG,2013J,597515,374,29,30,0,261,Pass
BBB,2013B,498296,1537,98,60,0,240,Pass
GGG,2014B,618579,1569,90,30,0,241,Pass
DDD,2013B,2231961,736,59,60,1,240,Distinction
GGG,2014B,632559,839,59,30,0,241,Pass
GGG,2013J,509277,1514,104,30,0,261,Pass
EEE,2014B,629089,317,18,60,0,241,Fail
CCC,2014J,651267,916,22,120,0,269,Fail
GGG,2014J,651624,1314,95,30,0,269,Pass
BBB,2013B,442143,38,3,120,0,240,Withdrawn
GGG,2014J,607342,1754,126,30,0,269,Distinction
GGG,2013J,96117,539,31,30,0,261,Pass
EEE,2013J,585455,2313,125,60,0,268,Distinction
DDD,2014J,53632,73,7,60,2,262,Fail
BBB,2014J,577645,2415,74,60,1,262,Distinction
DDD,2014B,562112,678,36,120,0,241,Distinction
CCC,2014J,519057,342,37,120,0,269,Pass
CCC,2014J,256680,282,18,60,0,269,Withdrawn
DDD,2013B,560743,1144,86,60,0,240,Withdrawn
GGG,2014J,675848,493,54,30,0,269,Distinction
GGG,2013J,610739,332,24,30,0,261,Pass
DDD,2013J,483934,262,26,60,1,261,Fail
CCC,2014J,472309,80,10,60,1,269,Fail
BBB,2014B,1626021,361,36,60,0,234,Pass
DDD,2013J,507344,1214,100,120,0,261,Pass
BBB,2013J,476278,3113,132,60,0,268,Pass
DDD,2014J,582009,867,84,60,0,262,Pass
EEE,2013J,596931,721,46,60,0,268,Fail
BBB,2013J,582406,118,20,60,0,268,Pass
DDD,2014J,690882,366,39,60,0,262,Pass
GGG,2014B,630203,178,9,30,0,241,Withdrawn
CCC,2014J,2149324,526,34,30,0,269,Withdrawn
FFF,2013B,2623196,4212,140,60,0,240,Pass
BBB,2014J,697653,1270,47,120,0,262,Withdrawn
BBB,2013J,598538,68,6,60,0,268,Fail
BBB,2014B,588039,219,20,120,0,234,Pass
DDD,2014B,621908,424,39,60,0,241,Fail
FFF,2013J,582629,285,13,180,0,268,Withdrawn
DDD,2014J,642222,357,12,120,0,262,Withdrawn
BBB,2014B,389249,411,48,60,0,234,Pass
DDD,2013B,535463,1087,67,60,0,240,Withdrawn
GGG,2013J,2653027,14,4,30,0,261,Fail
DDD,2014J,2025589,125,24,60,0,262,Pass
FFF,2014J,687434,9247,179,90,0,269,Distinction
FFF,2013B,2362169,1759,40,60,0,240,Pass
EEE,2014J,236512,308,11,120,0,269,Fail
FFF,2014J,623763,3,1,60,0,269,Withdrawn
FFF,2014B,124018,82,6,120,0,241,Withdrawn
DDD,2014B,612326,1919,133,60,0,241,Distinction
GGG,2013J,609900,762,29,30,0,261,Pass
BBB,2014J,635921,218,33,120,0,262,Pass
BBB,2013B,562495,648,46,120,0,240,Fail
BBB,2013J,578953,9,2,120,0,268,Withdrawn
FFF,2014J,674831,2828,132,60,0,269,Pass
CCC,2014J,131933,1216,33,30,1,269,Pass
BBB,2013J,109782,154,22,60,0,268,Withdrawn
FFF,2014J,1537796,618,29,60,0,269,Withdrawn
GGG,2014B,480086,341,24,30,0,241,Pass
GGG,2013J,87929,568,34,30,0,261,Pass
GGG,2014B,633417,1235,119,30,0,241,Pass
DDD,2014J,656454,1107,85,60,0,262,Pass
FFF,2014B,409651,3232,80,120,0,241,Pass
AAA,2014J,2551797,694,46,60,0,269,Pass
CCC,2014B,554870,1196,41,30,0,241,Pass
DDD,2014J,679427,145,8,120,0,262,Withdrawn
CCC,2014J,577551,269,19,60,0,269,Withdrawn
DDD,2014J,598536,350,40,60,1,262,Fail
DDD,2014J,649383,616,82,60,0,262,Fail
CCC,2014J,2373648,170,8,90,0,269,Withdrawn
FFF,2013J,601389,4473,131,120,0,268,Distinction
EEE,2014J,652233,4,1,30,0,269,Withdrawn
DDD,2014J,619055,126,13,120,0,262,Fail
BBB,2014J,549775,1483,62,180,0,262,Distinction
DDD,2014B,496085,125,15,150,0,241,Fail
CCC,2014J,406326,249,7,60,0,269,Withdrawn
EEE,2013J,473739,1318,79,30,0,268,Pass
DDD,2014J,645147,264,58,60,0,262,Fail
FFF,2014B,617535,413,10,60,0,241,Fail
FFF,2013J,559067,401,38,60,0,268,Withdrawn
FFF,2014J,656092,3549,169,120,0,269,Pass
FFF,2013B,558503,2899,105,60,0,240,Pass
DDD,2013B,180958,2785,193,150,1,240,Pass
DDD,2014B,601082,1166,94,60,0,241,Pass
FFF,2013J,281638,2961,108,90,0,268,Pass
FFF,2013J,578199,3393,72,90,0,268,Pass
CCC,2014B,558122,223,4,60,0,241,Fail
FFF,2013J,602777,2412,58,150,0,268,Pass
BBB,2013B,549261,556,71,60,0,240,Pass
BBB,2014J,125535,196,28,120,2,262,Pass
BBB,2014J,645098,1677,83,60,0,262,Pass
GGG,2014B,611195,440,41,30,0,241,Pass
FFF,2014B,413200,1449,63,60,0,241,Pass
CCC,2014J,2230407,705,30,30,0,269,Withdrawn
CCC,2014J,680187,1585,97,60,0,269,Pass
BBB,2014B,618670,140,10,60,0,234,Pass
BBB,2013J,491966,138,14,60,1,268,Pass
DDD,2013J,492635,984,78,60,0,261,Pass
EEE,2013J,387648,4395,179,60,0,268,Pass
DDD,2013B,556370,894,72,60,0,240,Fail
DDD,2014J,635170,498,77,120,0,262,Fail
EEE,2014J,648440,92,4,120,0,269,Withdrawn
BBB,2014B,603061,114,12,60,0,234,Withdrawn
CCC,2014J,628407,1040,89,60,0,269,Pass
DDD,2014B,614650,633,29,60,0,241,Withdrawn
CCC,2014J,2179304,5037,156,90,0,269,Withdrawn
BBB,2013J,574766,774,39,120,0,268,Fail
BBB,2014J,690430,651,30,60,0,262,Withdrawn
DDD,2013B,496601,2892,212,80,0,240,Pass
DDD,2013J,602986,25,4,120,0,261,Fail
BBB,2014J,518389,730,82,180,4,262,Pass
BBB,2014B,598918,1004,84,60,0,234,Distinction
DDD,2014J,2039810,696,74,60,1,262,Distinction
CCC,2014B,2008262,181,8,60,0,241,Withdrawn
BBB,2013J,600370,608,56,120,0,268,Pass
CCC,2014J,606344,591,15,60,0,269,Withdrawn
DDD,2014B,145770,42,4,60,0,241,Withdrawn
DDD,2013B,2374404,2257,155,60,0,240,Pass
GGG,2013J,608714,6,1,30,0,261,Fail
BBB,2014B,620126,344,37,60,0,234,Withdrawn
GGG,2014J,686918,1590,107,30,0,269,Distinction
DDD,2013B,513687,1776,70,60,0,240,Withdrawn
CCC,2014J,567597,707,28,90,0,269,Pass
BBB,2013J,566392,1055,88,150,0,268,Fail
DDD,2014B,628386,1383,139,60,0,241,Pass
BBB,2014J,692918,623,65,120,0,262,Pass
FFF,2014J,653301,4889,166,90,0,269,Pass
FFF,2013J,590980,9062,155,60,0,268,Pass
DDD,2014B,619297,2018,132,60,0,241,Pass
BBB,2014B,615173,125,12,60,0,234,Fail
CCC,2014B,633527,21,7,30,0,241,Withdrawn
BBB,2014B,622927,125,9,60,0,234,Fail
GGG,2014B,519910,346,33,30,0,241,Fail
BBB,2013J,582591,2569,59,120,0,268,Fail
FFF,2013J,562920,778,25,60,0,268,Fail
BBB,2014B,635246,71,5,60,0,234,Fail
FFF,2014J,696666,1018,36,120,0,269,Fail
BBB,2014B,265958,120,13,180,4,234,Fail
FFF,2014J,693573,919,25,60,0,269,Withdrawn
CCC,2014J,572599,258,22,60,0,269,Withdrawn
DDD,2014B,567595,2074,168,60,0,241,Distinction
EEE,2013J,551017,665,34,30,0,268,Pass
BBB,2013B,500815,6229,226,60,0,240,Pass
DDD,2013B,557752,194,23,60,0,240,Withdrawn
BBB,2014J,692502,3325,132,60,0,262,Pass
DDD,2013J,588824,2049,124,60,0,261,Pass
DDD,2014B,365764,227,14,60,0,241,Fail
DDD,2014J,678737,25,3,120,0,262,Withdrawn
CCC,2014J,586261,4100,134,60,0,269,Pass
FFF,2014J,329095,51,5,60,0,269,Withdrawn
FFF,2014J,84604,7698,156,90,0,269,Distinction
FFF,2013B,525557,79,4,180,1,240,Fail
CCC,2014B,466289,6364,135,30,0,241,Pass
BBB,2013B,539891,135,9,120,0,240,Withdrawn
BBB,2014J,505878,113,12,60,0,262,Fail
EEE,2014J,2654928,1785,93,60,0,269,Pass
FFF,2013B,135075,2881,111,60,0,240,Pass
BBB,2013B,377905,542,44,150,2,240,Fail
BBB,2013B,226827,1433,134,60,0,240,Pass
EEE,2014J,581082,3816,158,60,0,269,Pass
BBB,2014J,1732956,3717,154,120,0,262,Pass
BBB,2013J,568370,2002,71,120,0,268,Withdrawn
AAA,2013J,2606098,491,48,60,0,268,Pass
FFF,2014J,685283,539,38,60,0,269,Fail
DDD,2013B,517726,54,6,120,1,240,Withdrawn
DDD,2014J,334973,1448,148,60,0,262,Pass
GGG,2014J,571583,683,70,30,0,269,Distinction
BBB,2013J,512940,395,55,60,0,268,Pass
CCC,2014B,278861,10301,170,60,0,241,Withdrawn
FFF,2014J,650716,139,9,120,0,269,Fail
FFF,2013B,533201,2920,121,120,0,240,Pass
GGG,2014J,647345,20,5,30,0,269,Fail
DDD,2013J,603850,139,9,60,0,261,Withdrawn
DDD,2013J,92391,229,23,60,1,261,Fail
FFF,2013J,488394,9021,179,60,0,268,Pass
BBB,2014B,444858,646,33,120,1,234,Fail
GGG,2013J,1341096,1553,157,30,0,261,Pass
FFF,2013J,561031,2525,76,60,0,268,Pass
BBB,2014J,655406,72,4,120,0,262,Withdrawn
BBB,2014J,689131,914,74,60,0,262,Pass
DDD,2013J,468927,1268,93,90,0,261,Pass
FFF,2013J,596266,150,9,90,0,268,Fail
CCC,2014J,607047,1097,57,60,0,269,Pass
DDD,2013B,2388623,952,90,60,0,240,Pass
BBB,2013B,477734,672,70,120,0,240,Pass
DDD,2014J,591540,686,55,60,0,262,Pass
DDD,2013J,474246,466,49,90,1,261,Fail
FFF,2014B,626469,294,22,120,0,241,Fail
DDD,2013J,1874363,1040,63,60,0,261,Pass
FFF,2014B,618519,6392,160,60,0,241,Pass
GGG,2014B,359645,223,13,30,0,241,Withdrawn
EEE,2014J,681200,3603,166,60,0,269,Pass
FFF,2013J,589583,9472,225,90,0,268,Distinction
BBB,2014J,699493,15,1,120,0,262,Withdrawn
BBB,2014J,2299745,282,16,60,0,262,Fail
FFF,2013J,2299682,326,16,120,0,268,Withdrawn
BBB,2013J,577648,575,152,120,0,268,Fail
GGG,2013J,519091,542,43,30,0,261,Distinction
FFF,2014B,516634,4793,182,60,0,241,Pass
EEE,2014J,494270,2510,141,90,0,269,Pass
DDD,2013B,521709,393,36,120,0,240,Pass
FFF,2014B,634429,2862,79,60,0,241,Distinction
BBB,2014J,601316,142,9,60,1,262,Withdrawn
BBB,2013J,607286,134,9,180,0,268,Withdrawn
BBB,2013B,556878,1176,51,60,0,240,Pass
DDD,2014J,696324,131,28,120,0,262,Withdrawn
DDD,2014J,642474,10289,241,60,0,262,Distinction
EEE,2013J,564700,2641,117,120,0,268,Pass
CCC,2014B,2598913,562,34,150,0,241,Fail
DDD,2013B,1696174,2018,150,180,1,240,Pass
BBB,2013B,193822,2124,106,60,0,240,Pass
GGG,2014J,689371,834,57,30,0,269,Distinction
FFF,2013J,2178466,1162,47,60,0,268,Fail
GGG,2014B,635035,1908,111,30,0,241,Pass
FFF,2013J,604946,407,16,120,0,268,Withdrawn
DDD,2014J,645031,1866,157,60,0,262,Pass
DDD,2013B,2517826,59,5,120,0,240,Withdrawn
FFF,2013J,106690,188,3,120,0,268,Withdrawn
FFF,2014J,550420,3884,100,60,0,269,Distinction
EEE,2013J,126337,1785,80,90,0,268,Withdrawn
BBB,2013B,285633,287,20,120,1,240,Fail
DDD,2014J,189143,834,80,120,0,262,Distinction
CCC,2014J,624092,2,1,30,0,269,Fail
BBB,2013J,580592,328,31,60,0,268,Withdrawn
FFF,2014B,593220,117,13,120,0,241,Withdrawn
FFF,2014J,586282,214,17,240,0,269,Withdrawn
GGG,2014J,648049,292,19,30,0,269,Pass
BBB,2013B,554894,2732,95,60,0,240,Pass
EEE,2014B,128971,1982,97,30,0,241,Pass
EEE,2014J,599059,26,6,30,1,269,Fail
FFF,2013J,467504,3692,130,120,0,268,Pass
FFF,2013J,569507,8339,197,60,0,268,Pass
BBB,2013J,587297,1996,106,120,0,268,Pass
CCC,2014J,684709,1004,70,60,0,269,Distinction
DDD,2014J,678262,107,9,120,0,262,Withdrawn
CCC,2014B,625527,1491,67,60,0,241,Withdrawn
DDD,2013J,585210,255,26,60,0,261,Fail
GGG,2013J,549887,976,56,30,0,261,Distinction
BBB,2013B,555263,876,52,60,0,240,Pass
FFF,2014J,1424608,228,8,60,0,269,Withdrawn
DDD,2013J,576131,183,14,120,0,261,Withdrawn
GGG,2014J,679127,1024,85,30,0,269,Distinction
FFF,2014J,689582,77,5,60,0,269,Withdrawn
BBB,2013B,2470672,1120,72,60,1,240,Fail
BBB,2014B,569074,159,9,60,0,234,Withdrawn
FFF,2013B,538949,4830,171,60,0,240,Pass
GGG,2014B,608628,1,1,30,0,241,Fail
GGG,2014B,608263,1084,72,30,0,241,Distinction
FFF,2014B,1072259,2107,63,90,0,241,Pass
GGG,2014B,632631,69,9,30,0,241,Fail
BBB,2013J,552515,93,5,120,0,268,Pass
EEE,2014B,623562,768,35,60,0,241,Pass
FFF,2013J,594558,5946,177,60,0,268,Distinction
DDD,2014B,604704,328,27,120,1,241,Withdrawn
FFF,2013J,335562,5169,132,90,0,268,Pass
FFF,2013B,419228,203,13,300,1,240,Withdrawn
FFF,2013B,526303,1268,39,120,1,240,Withdrawn
DDD,2013J,2581822,554,69,150,1,261,Pass
CCC,2014B,335553,558,33,60,0,241,Withdrawn
FFF,2014J,2641156,1501,78,120,0,269,Pass
CCC,2014B,487629,1171,76,30,0,241,Fail
CCC,2014J,645948,1489,64,90,0,269,Withdrawn
GGG,2014J,676071,382,51,90,0,269,Pass
BBB,2014J,503159,315,8,60,0,262,Withdrawn
FFF,2014B,617564,121,4,60,0,241,Fail
FFF,2013J,578550,1291,23,90,0,268,Withdrawn
DDD,2014B,620658,701,47,60,0,241,Pass
BBB,2014B,633052,96,10,60,0,234,Withdrawn
DDD,2014B,412663,968,87,60,0,241,Pass
FFF,2014J,649020,225,15,60,0,269,Withdrawn
FFF,2014B,589016,2049,63,210,1,241,Pass
EEE,2013J,582723,2892,107,60,0,268,Pass
DDD,2014J,676010,909,25,120,0,262,Withdrawn
GGG,2014B,578389,217,19,30,0,241,Pass
GGG,2013J,2477040,289,18,90,0,261,Fail
BBB,2014J,245784,1199,28,60,1,262,Fail
GGG,2014B,632152,322,17,30,0,241,Withdrawn
GGG,2014J,694070,327,35,30,0,269,Fail
DDD,2013J,572880,2133,134,60,0,261,Withdrawn
FFF,2014J,689352,16,6,120,0,269,Withdrawn
DDD,2014J,256144,2886,217,60,0,262,Pass
DDD,2014B,635058,1377,148,60,0,241,Distinction
FFF,2014J,696364,2166,103,60,0,269,Pass
DDD,2013B,2037479,1140,87,180,0,240,Withdrawn
DDD,2014B,598750,1267,115,60,0,241,Pass
CCC,2014J,416860,821,67,60,1,269,Withdrawn
FFF,2014J,650287,3207,76,120,0,269,Withdrawn
FFF,2013J,340751,112,6,90,0,268,Withdrawn
BBB,2013B,445889,729,51,60,1,240,Pass
AAA,2014J,387954,532,14,60,0,269,Withdrawn
DDD,2014B,464592,81,1,60,1,241,Fail
DDD,2013B,549710,1541,96,60,0,240,Pass
EEE,2014J,655973,829,87,120,0,269,Pass
DDD,2014J,679558,99,14,180,0,262,Withdrawn
DDD,2013J,606513,219,16,60,0,261,Withdrawn
FFF,2014J,677167,4293,96,60,0,269,Pass
CCC,2014J,677089,2427,103,60,0,269,Distinction
EEE,2013J,601653,1047,50,60,0,268,Pass
FFF,2014B,412695,3504,152,60,0,241,Pass
DDD,2013J,361243,439,32,90,0,261,Pass
DDD,2013J,566979,1280,138,90,0,261,Distinction
GGG,2014B,630863,531,36,30,0,241,Pass
CCC,2014B,551478,644,51,60,0,241,Pass
BBB,2014J,652572,1501,70,60,0,262,Pass
CCC,2014J,616789,710,87,30,0,269,Fail
FFF,2014B,617130,1112,50,90,0,241,Withdrawn
DDD,2014J,682897,570,53,120,0,262,Pass
DDD,2013J,601566,863,106,60,0,261,Pass
FFF,2013B,962951,108,8,150,2,240,Withdrawn
BBB,2013J,498543,159,10,60,1,268,Pass
FFF,2014J,685705,2866,85,120,0,269,Pass
FFF,2013B,560496,2048,65,90,0,240,Withdrawn
CCC,2014J,472651,1840,99,60,0,269,Distinction
BBB,2013J,606355,1035,85,120,0,268,Withdrawn
BBB,2013J,599432,64,7,120,0,268,Withdrawn
DDD,2013B,2639451,1526,109,180,2,240,Distinction
GGG,2013J,2379431,181,18,30,0,261,Fail
EEE,2014B,621414,2061,82,30,0,241,Pass
BBB,2013J,519584,1118,96,60,0,268,Pass
EEE,2014J,602707,2247,104,60,0,269,Pass
DDD,2014J,650434,4628,176,60,0,262,Distinction
CCC,2014B,600509,84,14,60,0,241,Withdrawn
CCC,2014B,29820,1027,71,60,0,241,Pass
BBB,2014J,645248,293,12,60,0,262,Withdrawn
BBB,2013J,577347,147,12,60,0,268,Fail
CCC,2014J,687160,1931,129,90,0,269,Distinction
BBB,2014B,533077,1035,69,90,0,234,Fail
DDD,2014J,625467,7463,231,60,0,262,Pass
BBB,2013J,523545,440,37,60,0,268,Pass
DDD,2014J,136793,678,53,60,1,262,Pass
BBB,2013B,558113,1104,67,60,0,240,Pass
EEE,2013J,584553,1513,61,30,0,268,Pass
FFF,2014B,1961652,393,20,210,0,241,Withdrawn
CCC,2014J,109577,2018,59,120,0,269,Fail
CCC,2014J,629560,713,59,60,1,269,Withdrawn
BBB,2014J,692196,2470,105,120,0,262,Distinction
DDD,2014J,594329,271,37,60,0,262,Fail
GGG,2013J,369378,354,22,30,0,261,Withdrawn
FFF,2013B,1337055,2685,94,150,1,240,Pass
CCC,2014B,1750405,80,5,30,0,241,Fail
GGG,2014B,628653,9,4,30,0,241,Fail
FFF,2014J,540723,7400,161,60,1,269,Pass
DDD,2014J,676596,434,71,150,0,262,Pass
FFF,2013B,2525062,2897,99,60,0,240,Distinction
EEE,2014B,289397,412,25,60,0,241,Pass
CCC,2014B,391343,306,17,150,0,241,Fail
BBB,2014J,692553,518,46,60,0,262,Fail
BBB,2014B,631354,222,14,120,0,234,Withdrawn
BBB,2014J,604950,2481,108,60,0,262,Pass
CCC,2014J,1559964,21,2,90,0,269,Withdrawn
BBB,2013J,597866,338,29,120,0,268,Fail
DDD,2014J,99075,1369,96,60,0,262,Fail
BBB,2013J,611023,134,17,60,0,268,Pass
AAA,2014J,402961,4555,147,60,0,269,Pass
DDD,2013J,607485,246,50,60,0,261,Pass
CCC,2014J,473491,1608,83,60,0,269,Withdrawn
DDD,2014B,145640,1070,103,60,0,241,Distinction
BBB,2013B,535140,753,88,150,0,240,Pass
DDD,2014B,547786,490,30,120,0,241,Withdrawn
BBB,2013J,575089,148,15,120,0,268,Fail
DDD,2013J,403052,742,45,150,0,261,Fail
FFF,2014B,612248,3232,138,90,0,241,Pass
BBB,2013B,1930367,532,33,90,0,240,Distinction
BBB,2013J,2192113,166,11,60,0,268,Withdrawn
EEE,2014B,555022,2644,166,90,1,241,Pass
DDD,2013J,344474,556,32,60,1,261,Fail
FFF,2013B,80886,589,26,60,0,240,Withdrawn
FFF,2014J,2195853,614,11,90,3,269,Fail
FFF,2013B,491503,1118,37,120,0,240,Fail
CCC,2014B,556918,465,18,30,0,241,Withdrawn
FFF,2014J,691932,4941,155,120,0,269,Pass
EEE,2014J,610672,1887,137,60,0,269,Pass
DDD,2013J,594414,472,33,120,0,261,Withdrawn
CCC,2014J,544071,7,2,150,0,269,Withdrawn
CCC,2014B,625782,1796,128,60,0,241,Pass
BBB,2013B,486391,1246,85,120,1,240,Pass
FFF,2013B,544697,439,22,60,0,240,Fail
GGG,2013J,592043,80,8,30,0,261,Fail
CCC,2014J,551158,2123,47,30,0,269,Withdrawn
FFF,2013J,509940,446,21,60,1,268,Withdrawn
FFF,2013B,337189,5138,174,60,1,240,Pass
BBB,2013J,577914,1320,101,120,0,268,Distinction
FFF,2013B,2600887,2569,50,90,0,240,Pass
CCC,2014B,586473,115,7,60,0,241,Fail
FFF,2013B,379234,331,12,60,0,240,Fail
DDD,2013B,400759,1002,97,60,0,240,Pass
FFF,2014J,2686035,1705,61,135,0,269,Withdrawn
DDD,2013J,523248,636,41,60,0,261,Pass
GGG,2013J,607514,246,17,30,0,261,Fail
BBB,2014B,2659042,8049,232,120,0,234,Distinction
EEE,2014B,285170,1862,77,60,0,241,Pass
DDD,2014B,430282,16,3,60,1,241,Withdrawn
EEE,2013J,571963,7,2,90,0,268,Withdrawn
EEE,2014J,642656,4089,210,60,0,269,Distinction
DDD,2013B,524396,1223,149,60,0,240,Pass
DDD,2013J,587179,31,4,120,0,261,Withdrawn
AAA,2013J,2429854,655,34,120,0,268,Withdrawn
DDD,2013J,245653,177,12,60,0,261,Fail
GGG,2014J,680850,27,4,30,0,269,Fail
FFF,2013J,573093,3580,100,90,0,268,Pass
FFF,2013J,597238,5065,117,120,0,268,Withdrawn
DDD,2013B,559706,1383,126,60,0,240,Pass
CCC,2014B,308918,267,10,135,0,241,Fail
FFF,2014B,617847,97,6,90,0,241,Withdrawn
FFF,2014B,586351,72,9,180,0,241,Withdrawn
GGG,2014J,624767,87,4,30,1,269,Distinction
DDD,2014J,592221,394,62,90,0,262,Pass
EEE,2014J,434503,553,35,60,1,269,Withdrawn
BBB,2014J,483508,753,31,60,0,262,Distinction
BBB,2014B,555603,13,2,150,1,234,Withdrawn
FFF,2014B,388697,2404,77,60,0,241,Pass
BBB,2013J,526177,168,29,75,0,268,Pass
DDD,2013J,600796,3330,214,60,0,261,Pass
DDD,2013J,445930,398,53,120,1,261,Pass
FFF,2014B,502150,796,33,60,1,241,Withdrawn
